1,264,Neutral,Scion of Ugin,Dragons of Tarkir,Creature - Dragon Spirit,4\4,6,"For hundreds of years Ugin slept, encased in the cocoon of stone and magic Sarkhan had created using a shard of a Zendikari hedron. As Ugin lay dormant, his spectral guardians kept vigil.",*,u,*,10/11/17 0:00,10/11/17 0:00
2,264,White,"Anafenza, Kin-Tree Spirit",Dragons of Tarkir,Legendary Creature _ Spirit Soldier,2\2,ww,"Whenever another nontoken creature enters the battlefield under your control, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",*,r,*,10/11/17 0:00,10/11/17 0:00
3,264,White,Arashin Foremost,Dragons of Tarkir,Creature _ Human Warrior,2\2,1ww,"Double strike
Whenever Arashin Foremost enters the battlefield or attacks, another target Warrior creature you control gains double strike until end of turn.",*,r,*,10/11/17 0:00,10/11/17 0:00
4,264,White,Artful Maneuver,Dragons of Tarkir,Instant,,1w,"Target creature gets +2/+2 until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)
",*,c,*,10/11/17 0:00,10/11/17 0:00
5,264,White,Aven Sunstriker,Dragons of Tarkir,Creature _ Bird Warrior,1\1,1ww,"Flying, Double strike (This creature deals both first-strike and regular combat damage.)
Megamorph 4White (You may cast this card face down as a 2/2 creature for 3. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)",*,u,*,10/11/17 0:00,10/11/17 0:00
6,264,White,Aven Tactician,Dragons of Tarkir,Creature _ Bird Soldier,2\3,4w,"Flying, When Aven Tactician enters the battlefield, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",*,c,*,10/11/17 0:00,10/11/17 0:00
7,264,White,Battle Mastery,Dragons of Tarkir,Enchantment _ Aura,,2w,"Enchant creature, Enchanted creature has double strike. (It deals both first-strike and regular combat damage.)",*,u,*,10/11/17 0:00,10/11/17 0:00
8,264,White,Center Soul,Dragons of Tarkir,Instant,,1w,"Target creature you control gains protection from the color of your choice until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)
",*,c,*,10/11/17 0:00,10/11/17 0:00
9,264,White,Champion of Arashin,Dragons of Tarkir,Creature _ Hound Warrior,3\2,3w,Lifelink (Damage dealt by this creature also causes you to gain that much life.),*,c,*,10/11/17 0:00,10/11/17 0:00
10,264,White,Dragon Hunter,Dragons of Tarkir,Creature _ Human Warrior,2\1,w,"Protection from Dragons
Dragon Hunter can block Dragons as though it had reach.",*,u,*,10/11/17 0:00,10/11/17 0:00
11,264,White,Dragon's Eye Sentry,Dragons of Tarkir,Creature - Human Monk,1\3,w,"Defender, first strike",*,c,*,10/11/17 0:00,10/11/17 0:00
12,264,White,Dromoka Captain,Dragons of Tarkir,Creature - Human Soldier,1\3,2w,"First strike
Whenever Dromoka Captain attacks, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",*,u,*,10/11/17 0:00,10/11/17 0:00
13,264,White,Dromoka Dunecaster,Dragons of Tarkir,Creature - Human Wizard) ,0\2,w,"1White, Tap: Tap target creature without flying.",*,c,*,10/11/17 0:00,10/11/17 0:00
